City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Olafsvik,IS,64.8945,-23.7142,33.04,93,100,2.64
1,Zaraza,VE,9.3503,-65.3245,89.64,40,29,9.91
2,Zeya,RU,53.75,127.2667,-26.5,82,63,1.88
3,Cape Town,ZA,-33.9258,18.4232,70.0,77,0,12.66
4,Hobart,AU,-42.8794,147.3294,60.8,94,20,5.75
5,Atuona,PF,-9.8,-139.0333,78.57,77,15,19.26
6,Cidreira,BR,-30.1811,-50.2056,80.6,86,37,9.42
7,Podyuga,RU,61.095,40.8647,18.16,97,100,7.72
8,Punta Arenas,CL,-53.15,-70.9167,48.2,66,75,25.32
9,Bluff,NZ,-46.6,168.3333,48.0,80,25,8.01
10,Bealanana,MG,-14.55,48.7333,65.57,87,99,0.54
11,Hilo,US,19.7297,-155.09,69.8,83,90,3.44
12,Jiazi,CN,22.8779,116.067,52.23,67,0,18.41
13,Chodavaram,IN,17.8333,82.95,73.4,88,20,2.3
14,Hithadhoo,MV,-0.6,73.0833,81.79,78,29,14.03
15,Yulara,AU,-25.2406,130.9889,78.8,65,100,12.66
16,Jamestown,US,42.097,-79.2353,21.0,79,90,13.8
17,Avarua,CK,-21.2078,-159.775,82.4,74,20,9.22
18,Alofi,NU,-19.0595,-169.9187,75.2,100,100,6.91
19,Hermanus,ZA,-34.4187,19.2345,64.0,84,97,4.56
20,Ukiah,US,39.1502,-123.2078,48.0,76,90,3.11
21,Rikitea,PF,-23.1203,-134.9692,79.83,69,67,7.63
22,Bredasdorp,ZA,-34.5322,20.0403,64.0,84,97,6.64
23,Saint George,US,37.1041,-113.5841,43.0,87,90,8.05
24,Khatanga,RU,71.9667,102.5,-45.09,73,0,2.08
25,Manicore,BR,-5.8092,-61.3003,80.6,89,75,3.44
26,Abu Samrah,SY,35.3029,37.1841,43.16,70,19,11.61
27,Butaritari,KI,3.0707,172.7902,80.49,76,89,18.32
28,Leshukonskoye,RU,64.8989,45.7622,11.25,94,100,10.65
29,Klaksvik,FO,62.2266,-6.589,32.0,69,75,4.61
30,Fortuna,US,40.5982,-124.1573,51.01,93,1,6.91
31,Barrow,US,71.2906,-156.7887,-13.0,77,90,9.22
32,Mataura,NZ,-46.1927,168.8643,48.0,80,30,8.01
33,Dikson,RU,73.5069,80.5464,-33.14,85,96,5.86
34,Khandyga,RU,62.6667,135.6,-52.71,76,86,0.87
35,Isangel,VU,-19.55,169.2667,75.2,88,20,13.33
36,Ushuaia,AR,-54.8,-68.3,42.8,70,75,23.02
37,Sao Filipe,CV,14.8961,-24.4956,75.13,63,84,9.6
38,Lavrentiya,RU,65.5833,-171.0,-16.47,81,0,14.27
39,Flin Flon,CA,54.7682,-101.865,10.4,85,90,6.91
40,Altagracia De Orituco,VE,9.8601,-66.3814,83.88,46,37,8.66
41,Rajgir,IN,25.0333,85.4167,50.0,87,0,5.75
42,Raudeberg,NO,61.9875,5.1352,33.01,93,75,10.36
43,Muncar,ID,-8.4333,114.3333,74.86,89,100,1.95
44,Cabo San Lucas,MX,22.8909,-109.9124,82.0,64,20,13.8
45,Merauke,ID,-8.4667,140.3333,79.16,86,79,14.52
46,Chuy,UY,-33.6971,-53.4616,78.46,66,3,9.1
47,Vadso,NO,70.0744,29.7487,17.6,86,90,13.8
48,Piacabucu,BR,-10.4056,-36.4344,80.71,71,100,11.54
49,Caravelas,BR,-17.7125,-39.2481,81.3,68,0,9.31
50,Kyra,RU,49.5776,111.9753,-16.47,81,100,0.98
51,Albany,US,42.6001,-73.9662,17.01,44,76,11.99
52,Busselton,AU,-33.65,115.3333,62.01,79,0,5.01
53,Kodiak,US,57.79,-152.4072,33.8,69,40,17.27
54,Kijabe,KE,-0.933,36.5758,59.0,84,73,11.01
55,Saint-Pierre,RE,-21.3393,55.4781,78.8,69,0,4.61
56,Yellowknife,CA,62.456,-114.3525,-18.0,76,20,6.91
57,Port Elizabeth,ZA,-33.918,25.5701,64.4,88,40,5.75
58,Umm Lajj,SA,25.0213,37.2685,65.03,53,0,12.08
59,Tasiilaq,GL,65.6145,-37.6368,17.6,86,90,21.85
60,Iqaluit,CA,63.7506,-68.5145,-13.0,70,1,33.38
61,Ponta Delgada,PT,37.7333,-25.6667,61.0,82,20,11.5
62,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,20,13.8
63,Sorland,NO,67.667,12.6934,28.4,74,20,5.75
64,Hukuntsi,BW,-24.0,21.75,76.62,61,100,15.14
65,Kumluca,TR,36.3703,30.2869,47.55,49,0,2.13
66,Ostrovnoy,RU,68.0531,39.5131,7.11,93,100,18.14
67,Kapaa,US,22.0752,-159.319,73.99,78,75,20.71
68,Nouakchott,MR,18.0858,-15.9785,86.0,10,32,8.05
69,Georgetown,MY,5.4112,100.3354,77.0,78,20,3.44
70,Port Hardy,CA,50.6996,-127.4199,42.8,81,90,11.5
71,Vaini,TO,-21.2,-175.2,77.0,94,75,12.66
72,Waddan,LY,29.1614,16.139,57.69,47,0,3.06
73,Souillac,MU,-20.5167,57.5167,80.6,78,75,9.22
74,Baijiantan,CN,45.6333,85.1833,6.06,91,0,1.43
75,Acapulco,MX,16.8634,-99.8901,86.0,58,75,11.5
76,Lebu,CL,-37.6167,-73.65,59.23,95,95,2.86
77,Salinopolis,BR,-0.6136,-47.3561,82.22,75,93,13.8
78,Jalu,LY,29.0331,21.5482,54.79,72,0,5.73
79,Broken Hill,AU,-31.95,141.4333,68.0,64,0,16.11
80,Nikolskoye,RU,59.7035,30.7861,33.01,100,75,8.95
81,Vila Velha,BR,-20.3297,-40.2925,86.0,62,20,25.32
82,Kavieng,PG,-2.5744,150.7967,82.74,82,46,15.7
83,Tiksi,RU,71.6872,128.8694,-31.77,85,100,4.56
84,New Norfolk,AU,-42.7826,147.0587,60.01,84,62,2.66
85,Aasiaat,GL,68.7098,-52.8699,3.6,90,0,4.27
86,Grindavik,IS,63.8424,-22.4338,33.8,75,90,6.91
87,Tigzirt,DZ,36.8886,4.1198,61.3,63,0,8.77
88,Yar-Sale,RU,66.8333,70.8333,-41.96,80,15,4.12
89,Khandbari,NP,27.3747,87.2039,46.44,56,0,4.07
90,Lompoc,US,34.6391,-120.4579,50.0,93,20,6.91
91,Sisimiut,GL,66.9395,-53.6735,9.95,73,0,9.28
92,Hornepayne,CA,49.2138,-84.7705,8.4,93,100,5.7
93,Castro,BR,-24.7911,-50.0119,71.29,89,98,6.96
94,Kaitangata,NZ,-46.2817,169.8464,54.0,75,29,3.0
95,Gorontalo,ID,0.5412,123.0595,73.49,83,94,3.47
96,Dingle,PH,10.9995,122.6711,73.83,89,95,11.9
97,Oxapampa,PE,-10.5775,-75.4017,66.02,89,100,2.75
98,Tecoanapa,MX,16.5167,-98.75,84.34,49,68,9.08
99,Marawi,PH,7.9986,124.2928,73.0,93,100,5.01
100,Krasnyy Chikoy,RU,50.3643,108.7512,-4.99,88,100,0.65
101,Tilichiki,RU,60.4667,166.1,-6.95,92,91,9.28
102,Batticaloa,LK,7.7102,81.6924,76.6,87,100,8.03
103,Iquitos,PE,-3.7481,-73.2472,91.4,55,75,9.22
104,Bethel,US,41.3712,-73.414,19.0,49,20,13.8
105,San Quintin,MX,30.4833,-115.95,58.37,73,86,11.95
106,Port Alfred,ZA,-33.5906,26.891,64.99,88,0,1.99
107,Qaanaaq,GL,77.484,-69.3632,-14.46,59,0,4.59
108,San Cristobal,VE,7.7669,-72.225,84.2,58,40,13.8
109,Oromocto,CA,45.8351,-66.4792,23.0,58,90,14.97
110,Ribeira Grande,PT,38.5167,-28.7,62.6,72,20,11.5
111,Lexington,US,37.9887,-84.4777,34.0,43,1,3.44
112,Kielce,PL,50.8703,20.6275,28.99,1,99,4.59
113,Marsh Harbour,BS,26.5412,-77.0636,64.72,67,100,16.15
114,Bengkulu,ID,-3.8004,102.2655,75.13,88,100,6.44
115,Agua Verde,MX,22.9,-106.05,80.6,50,75,6.91
116,Kattivakkam,IN,13.2167,80.3167,75.2,83,40,9.15
117,Vila Franca Do Campo,PT,37.7167,-25.4333,61.0,82,20,11.5
118,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,1.4,85,100,6.71
119,Kijang,KR,35.2442,129.2139,24.8,39,0,9.22
120,Vanimo,PG,-2.6741,141.3028,78.26,82,100,7.85
121,Severo-Kurilsk,RU,50.6789,156.125,20.62,93,99,18.19
122,Torbay,CA,47.6666,-52.7314,28.0,86,90,18.41
123,Gunjur,GM,13.2019,-16.7339,80.6,39,0,17.16
124,Norman Wells,CA,65.282,-126.8329,-32.8,75,20,2.3
125,Belmonte,BR,-15.8631,-38.8828,84.2,74,75,3.44
126,Necochea,AR,-38.5473,-58.7368,78.01,45,58,9.93
127,Bambous Virieux,MU,-20.3428,57.7575,81.0,78,75,9.22
128,Airai,TL,-8.9266,125.4092,61.54,100,100,4.25
129,Tazovskiy,RU,67.4667,78.7,-37.77,79,0,7.05
130,Kurlovo,RU,55.4325,40.4854,27.59,98,100,11.83
131,Katsuura,JP,35.1333,140.3,36.0,48,0,18.41
132,Kruisfontein,ZA,-34.0033,24.7314,64.99,75,1,1.01
133,Lujiang,CN,31.2581,117.2817,43.0,56,0,4.47
134,Ilulissat,GL,69.2167,-51.1,1.4,55,20,8.05
135,Kutahya,TR,39.4242,29.9833,30.2,74,40,1.14
136,Kasongo-Lunda,CD,-6.4667,16.8167,72.37,84,100,0.92
137,Mantua,IT,45.1667,10.7833,35.01,86,3,5.75
138,Yeppoon,AU,-23.1333,150.7333,71.6,83,75,6.91
139,La Rioja,ES,42.25,-2.5,51.8,82,20,3.44
140,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,67,20,3.44
141,Palembang,ID,-2.9167,104.7458,74.05,95,100,3.44
142,Sobolevo,RU,54.4299,31.8996,22.37,98,100,11.74
143,Saskylakh,RU,71.9167,114.0833,-38.83,79,73,1.81
144,Kavaratti,IN,10.5669,72.642,80.33,72,8,8.16
145,Coihaique,CL,-45.5752,-72.0662,60.8,41,20,9.22
146,Bara,NG,10.3744,10.7288,77.79,18,0,12.1
147,Mumford,GH,5.2618,-0.759,79.5,83,100,5.21
148,Vestmannaeyjar,IS,63.4427,-20.2734,36.28,81,97,9.13
149,Odweyne,SO,9.4092,45.064,66.88,60,0,2.3
150,Bhim Tal,IN,29.35,79.5667,36.91,65,0,4.14
151,Mandera,KE,3.9366,41.867,83.8,17,8,11.14
152,Sao Felix Do Xingu,BR,-6.6447,-51.995,85.69,67,21,3.56
153,Jati,PK,24.3539,68.2671,58.12,49,0,7.54
154,Thanh Hoa,VN,19.8,105.7667,59.41,91,0,1.52
155,Pevek,RU,69.7008,170.3133,-28.82,85,5,2.82
156,Along,IN,28.1667,94.7667,49.93,59,15,1.72
157,Hambantota,LK,6.1241,81.1185,75.2,100,40,2.3
158,Rafaela,AR,-31.2503,-61.4867,92.25,32,0,5.3
159,Fort Nelson,CA,58.8053,-122.7002,-14.8,76,40,1.48
160,Nizwa,OM,22.9333,57.5333,55.72,45,0,1.16
161,Panshi,CN,42.9422,126.0561,5.77,95,100,4.94
162,Arraial Do Cabo,BR,-22.9661,-42.0278,89.6,58,0,21.85
163,Nongan,CN,44.382,125.1685,8.6,78,90,8.95
164,Bubaque,GW,11.2833,-15.8333,78.58,73,0,14.88
165,Salinas,US,36.6777,-121.6555,55.4,76,1,9.22
166,Gazojak,TM,41.1875,61.4036,42.19,58,63,6.42
167,Ponta Do Sol,PT,32.6667,-17.1,57.99,75,29,1.01
168,Garavuti,TJ,37.5672,68.4469,37.4,70,0,2.24
169,Oksfjord,NO,70.2396,22.3479,19.4,73,40,23.02
170,Itarema,BR,-2.9248,-39.9167,82.38,71,100,16.08
171,Svetlogorsk,BY,52.6333,29.7333,21.25,97,98,11.41
172,Vostok,RU,46.4856,135.8833,-17.66,89,100,2.57
173,Comodoro Rivadavia,AR,-45.8667,-67.5,62.6,42,40,13.8
174,East London,ZA,-33.0153,27.9116,73.0,63,54,3.04
175,Carnarvon,AU,-24.8667,113.6333,78.8,89,3,9.22
176,Paamiut,GL,61.994,-49.6678,34.27,81,83,9.44
177,Taoudenni,ML,22.6783,-3.9836,74.95,19,0,11.05
178,Port Blair,IN,11.6667,92.75,79.02,81,99,7.65
179,Mehamn,NO,71.0357,27.8492,17.6,79,0,12.66
180,Baykit,RU,61.67,96.37,-40.7,74,72,4.65
181,Geraldton,AU,-28.7667,114.6,82.4,20,0,23.02
182,Beirut,LB,33.8889,35.4944,57.2,51,40,17.27
183,Chaihe,CN,44.7667,129.7,-15.09,87,100,2.86
184,Ancud,CL,-41.8697,-73.8203,64.4,52,0,9.22
185,Madang,PG,-5.2246,145.7966,77.13,89,96,5.73
186,Lethem,GY,3.3803,-59.7968,88.7,46,99,11.41
187,Benguela,AO,-12.5763,13.4055,76.41,73,1,5.03
188,Vanavara,RU,60.34,102.2797,-38.67,79,45,7.83
189,Victoria,HK,22.2855,114.1577,60.01,72,0,21.92
190,Kutum,SD,14.2,24.6667,59.22,31,10,12.91
191,Anzio,IT,41.4853,12.6179,52.0,94,37,1.01
192,Jenbach,AT,47.4013,11.7406,39.99,90,100,2.73
193,Road Town,VG,18.4167,-64.6167,82.4,61,20,8.05
194,Adre,TD,13.4667,22.2,69.96,22,0,19.6
195,Ahipara,NZ,-35.1667,173.1667,63.82,66,2,7.02
196,Deputatskiy,RU,69.3,139.9,-31.85,86,100,1.97
197,Saldanha,ZA,-33.0117,17.9442,64.99,89,0,12.28
198,Preili,LV,56.2944,26.7246,26.94,98,100,10.6
199,Ciudad Bolivar,VE,8.1222,-63.5497,89.94,42,56,10.76
200,Thompson,CA,55.7435,-97.8558,5.0,72,90,4.61
201,Kropotkin,RU,45.4375,40.5756,35.28,87,100,7.16
202,Pacific Grove,US,36.6177,-121.9166,55.4,62,40,3.0
203,Port Lincoln,AU,-34.7333,135.8667,62.4,71,100,13.22
204,Hasaki,JP,35.7333,140.8333,32.0,51,20,10.36
205,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.0,58,0,23.02
206,Abu Dhabi,AE,24.4667,54.3667,71.6,43,0,6.91
207,Euclides Da Cunha,BR,-10.5075,-39.0158,85.41,45,98,13.2
208,Galle,LK,6.0367,80.217,76.77,86,100,2.68
209,Parrita,CR,9.5201,-84.3225,78.8,49,40,23.02
210,Bulungu,CD,-4.55,18.6,75.36,80,100,2.33
211,Fukue,JP,32.6881,128.8419,43.14,62,0,11.52
212,Jiangyou,CN,31.7667,104.7167,43.7,73,84,3.47
213,Komsomolskiy,UZ,40.4272,71.7189,33.8,47,17,6.91
214,Melbu,NO,68.5044,14.8297,23.0,68,0,4.61
215,Muli,MV,2.9167,73.5667,81.14,79,4,17.18
216,Eregli,TR,37.5133,34.0467,28.98,81,8,2.28
217,Mega,ET,4.05,38.3,65.8,39,0,19.22
218,Los Teques,VE,10.3445,-67.0433,87.8,70,20,3.49
219,Constitucion,CL,-35.3333,-72.4167,66.88,72,97,8.08
220,Upernavik,GL,72.7868,-56.1549,-7.15,82,93,12.71
221,Bathsheba,BB,13.2167,-59.5167,82.4,65,20,16.11
222,Chokurdakh,RU,70.6333,147.9167,-23.89,87,100,7.43
223,Chicama,PE,-7.8447,-79.1469,71.6,83,20,10.36
224,Alice Springs,AU,-23.7,133.8833,79.0,88,90,6.91
225,Faya,SA,18.3851,42.4509,59.0,76,0,4.61
226,Ahuimanu,US,21.4447,-157.8378,75.2,64,90,17.27
227,Usinsk,RU,65.9939,57.5281,-16.06,84,100,10.71
228,Tessalit,ML,20.1986,1.0114,66.94,21,0,10.85
229,Garowe,SO,8.4054,48.4845,66.65,81,0,14.52
230,Tarakan,ID,3.3,117.6333,77.83,85,100,16.06
231,Hami,CN,42.8,93.45,20.05,84,0,2.59
232,Bilibino,RU,68.0546,166.4372,-24.32,79,6,5.46
233,Guadalupe Y Calvo,MX,26.1,-106.9667,63.59,39,69,14.14
234,Mayo,US,38.8876,-76.5119,33.01,40,90,14.97
235,Banda Aceh,ID,5.5577,95.3222,77.49,83,62,11.9
236,Oksovskiy,RU,62.6062,39.8984,20.59,97,100,8.41
237,Faanui,PF,-16.4833,-151.75,80.96,70,30,8.63
238,Palmer,US,42.1584,-72.3287,17.01,41,20,21.85
239,Anamur,TR,36.0751,32.8369,42.8,75,0,5.75
240,Pangnirtung,CA,66.1451,-65.7125,-9.4,77,1,2.3
241,West Bay,KY,19.3667,-81.4167,79.0,65,40,16.11
242,Wau,SS,7.7029,27.9953,79.56,18,40,5.91
243,Panguna,PG,-6.3164,155.4848,70.75,100,85,4.0
244,La Ronge,CA,55.1001,-105.2842,8.6,78,100,5.75
245,Provideniya,RU,64.3833,-173.3,-9.11,82,91,9.19
246,Auki,SB,-8.7676,160.7034,79.29,82,100,6.67
247,Lalmohan,BD,22.3384,90.7419,67.37,47,0,6.49
248,Kununurra,AU,-15.7667,128.7333,78.8,100,75,8.05
249,Pochutla,MX,15.7432,-96.4661,91.99,46,40,11.5
250,Batemans Bay,AU,-35.7167,150.1833,68.0,97,100,3.0
251,Karratha,AU,-20.7377,116.8463,81.57,75,25,2.71
252,Shitanjing,CN,39.2342,106.3439,22.53,76,0,14.72
253,Clyde River,CA,70.4692,-68.5914,-16.6,76,1,14.97
254,Naze,JP,28.3667,129.4833,48.74,73,26,13.78
255,Shumskiy,RU,54.8318,99.1328,5.72,92,67,0.94
256,Avera,US,33.194,-82.5271,50.0,34,1,5.75
257,Carupano,VE,10.6678,-63.2585,79.57,70,30,10.45
258,Mount Isa,AU,-20.7333,139.5,82.4,57,100,3.44
259,Anadyr,RU,64.75,177.4833,-20.0,76,0,6.71
260,Pisco,PE,-13.7,-76.2167,77.0,65,0,6.91
261,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,93.27,41,7,5.03
262,Peqin,AL,41.0461,19.7511,50.0,87,90,8.05
263,Zlotoryja,PL,51.1264,15.9198,30.99,86,100,6.38
264,Ossora,RU,59.2353,163.0719,-4.04,87,55,7.76
265,Mizdah,LY,31.4451,12.9801,58.71,42,0,11.21
266,Mahebourg,MU,-20.4081,57.7,80.6,78,75,9.22
267,Alta Floresta,BR,-9.8756,-56.0861,87.8,58,40,3.44
268,Saint-Philippe,RE,-21.3585,55.7679,78.8,69,0,4.61
269,Quatre Cocos,MU,-20.2078,57.7625,81.0,78,75,9.22
270,Mutare,ZW,-18.9707,32.6709,66.15,98,78,4.12
271,Mar Del Plata,AR,-38.0023,-57.5575,82.4,32,75,12.66
272,Ngong,KE,-1.3618,36.6566,59.0,84,66,11.01
273,Verkhoyansk,RU,67.5447,133.385,-44.37,74,100,0.25
274,Rochegda,RU,62.8,43.25,21.78,97,100,9.51
275,Sovetskiy,RU,61.3614,63.5842,-15.88,87,97,6.93
276,Okhotsk,RU,59.3833,143.3,-13.68,82,0,7.63
277,Mogadishu,SO,2.0371,45.3438,76.53,75,0,23.62
278,Kofele,ET,7.0667,38.7833,53.76,42,7,9.89
279,Aksu,CN,41.1231,80.2644,18.88,84,0,3.04
280,San Patricio,US,28.017,-97.5169,77.0,47,40,11.5
281,Varhaug,NO,58.6147,5.6457,24.8,74,0,5.75
282,Katobu,ID,-4.9408,122.5276,75.42,92,99,4.34
283,Cherskiy,RU,68.75,161.3,-31.94,83,64,4.34
284,Werda,BW,-25.2667,23.2833,74.79,66,74,10.27
285,Luderitz,NA,-26.6481,15.1594,72.0,42,0,27.11
286,Touros,BR,-5.1989,-35.4608,86.0,58,20,12.66
287,Esperance,AU,-33.8667,121.9,57.2,88,0,6.91
288,Aykhal,RU,66.0,111.5,-36.09,80,60,6.2
289,Najran,SA,17.4924,44.1277,69.8,18,0,3.94
290,Bandarbeyla,SO,9.4942,50.8122,74.14,74,38,12.15
291,San Jose,US,37.3394,-121.895,55.0,66,20,3.44
292,Cayenne,GF,4.9333,-52.3333,77.0,100,75,3.44
293,Alekseyevsk,RU,57.8406,108.3492,-39.44,78,19,3.51
294,Vardo,NO,70.3705,31.1107,23.0,93,75,18.41
295,Korla,CN,41.7597,86.1469,22.98,82,0,3.51
296,Areka,ET,7.0667,37.7,67.75,27,16,8.05
297,Agidel,RU,55.9077,53.9355,24.55,98,100,10.94
298,Rawson,AR,-43.3002,-65.1023,60.48,53,25,21.5
299,Hualmay,PE,-11.0964,-77.6139,75.87,65,4,11.21
300,Asau,RO,46.4333,26.4,37.4,75,0,8.05
301,Coahuayana,MX,18.7333,-103.6833,86.0,42,40,6.69
302,Khilok,RU,51.3674,110.4676,-14.12,87,100,2.73
303,Seredeyskiy,RU,54.0507,35.2318,21.81,98,97,2.8
304,Odlabari,IN,26.8333,88.6167,57.56,56,0,4.25
305,Cascais,PT,38.6979,-9.4215,57.0,94,100,10.0
306,Asyut,EG,27.181,31.1837,51.8,66,0,5.75
307,Bafia,CM,4.75,11.2333,75.25,41,100,4.43
308,Porto Santo,PT,33.072,-16.3415,62.6,82,75,10.36
309,Saint-Georges,GD,12.0564,-61.7485,86.0,66,20,20.71
310,Itoman,JP,26.1247,127.6694,57.2,58,75,5.75
311,Maloy,NO,61.9353,5.1136,33.01,93,75,10.36
312,Berlevag,NO,70.8578,29.0864,23.0,74,75,12.66
313,Santa Fe,AR,-31.6333,-60.7,87.01,50,11,1.99
314,Narsaq,GL,60.9167,-46.05,44.6,29,75,24.16
315,Zyryanka,RU,65.75,150.85,-22.41,86,100,8.43
316,Ferrol,ES,43.4832,-8.2369,59.0,82,100,19.42
317,Santa Cruz,BO,-17.8,-63.1667,77.0,83,75,18.41
318,Tateyama,JP,34.9833,139.8667,36.0,48,0,18.41
319,Lasa,IT,46.6166,10.7002,34.0,74,0,2.3
320,Beloha,MG,-25.1667,45.05,78.44,80,54,11.74
321,Roald,NO,62.5833,6.1333,33.8,93,90,17.27
322,Shu,KZ,43.5983,73.7614,15.87,86,0,0.56
323,Wanning,CN,18.8003,110.3967,66.31,81,100,6.02
324,Lagoa,PT,39.05,-27.9833,59.07,75,9,14.63
325,Hargeysa,SO,9.56,44.065,60.04,91,26,8.9
